DEBUG 2018-07-25 12:22:27,590 - push QCheckBox Output
DEBUG 2018-07-25 12:22:27,591 - pop widget QCheckBox Output
DEBUG 2018-07-25 12:22:27,591 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,591 - setting property text
DEBUG 2018-07-25 12:22:27,591 - push QCheckBox Outputspare
DEBUG 2018-07-25 12:22:27,591 - pop widget QCheckBox Outputspare
DEBUG 2018-07-25 12:22:27,591 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,591 - setting property font
DEBUG 2018-07-25 12:22:27,591 - setting property text
DEBUG 2018-07-25 12:22:27,592 - push QCheckBox Nav
DEBUG 2018-07-25 12:22:27,592 - pop widget QCheckBox Nav
DEBUG 2018-07-25 12:22:27,592 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,592 - setting property font
DEBUG 2018-07-25 12:22:27,592 - setting property text
DEBUG 2018-07-25 12:22:27,592 - push QCheckBox Main
DEBUG 2018-07-25 12:22:27,592 - pop widget QCheckBox Main
DEBUG 2018-07-25 12:22:27,592 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,592 - pop layout QHBoxLayout horizontalLayout_9
DEBUG 2018-07-25 12:22:27,592 - push QHBoxLayout horizontalLayout_3
DEBUG 2018-07-25 12:22:27,593 - setting property text
DEBUG 2018-07-25 12:22:27,593 - push QCheckBox FGC07
DEBUG 2018-07-25 12:22:27,593 - pop widget QCheckBox FGC07
DEBUG 2018-07-25 12:22:27,593 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,593 - setting property text
DEBUG 2018-07-25 12:22:27,593 - push QCheckBox FGC08
DEBUG 2018-07-25 12:22:27,593 - pop widget QCheckBox FGC08
DEBUG 2018-07-25 12:22:27,594 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,594 - setting property text
DEBUG 2018-07-25 12:22:27,594 - push QCheckBox FGC09
DEBUG 2018-07-25 12:22:27,594 - pop widget QCheckBox FGC09
DEBUG 2018-07-25 12:22:27,594 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,594 - setting property text
DEBUG 2018-07-25 12:22:27,594 - push QCheckBox FGC10
DEBUG 2018-07-25 12:22:27,594 - pop widget QCheckBox FGC10
DEBUG 2018-07-25 12:22:27,594 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,594 - setting property text
DEBUG 2018-07-25 12:22:27,595 - push QCheckBox FGC11
DEBUG 2018-07-25 12:22:27,595 - pop widget QCheckBox FGC11
DEBUG 2018-07-25 12:22:27,595 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,595 - setting property text
DEBUG 2018-07-25 12:22:27,595 - push QCheckBox FGC12
DEBUG 2018-07-25 12:22:27,595 - pop widget QCheckBox FGC12
DEBUG 2018-07-25 12:22:27,595 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,595 - pop layout QHBoxLayout horizontalLayout_3
DEBUG 2018-07-25 12:22:27,595 - push QHBoxLayout horizontalLayout_5
DEBUG 2018-07-25 12:22:27,595 - setting property text
DEBUG 2018-07-25 12:22:27,596 - push QCheckBox FGC19
DEBUG 2018-07-25 12:22:27,596 - pop widget QCheckBox FGC19
DEBUG 2018-07-25 12:22:27,596 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,596 - setting property text
DEBUG 2018-07-25 12:22:27,596 - push QCheckBox FGC20
DEBUG 2018-07-25 12:22:27,596 - pop widget QCheckBox FGC20
DEBUG 2018-07-25 12:22:27,596 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,596 - setting property text
DEBUG 2018-07-25 12:22:27,597 - push QCheckBox FGC21
DEBUG 2018-07-25 12:22:27,597 - pop widget QCheckBox FGC21
DEBUG 2018-07-25 12:22:27,597 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,597 - setting property text
DEBUG 2018-07-25 12:22:27,597 - push QCheckBox FGC22
DEBUG 2018-07-25 12:22:27,597 - pop widget QCheckBox FGC22
DEBUG 2018-07-25 12:22:27,597 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,598 - setting property text
DEBUG 2018-07-25 12:22:27,598 - push QCheckBox FGC23
DEBUG 2018-07-25 12:22:27,598 - pop widget QCheckBox FGC23
DEBUG 2018-07-25 12:22:27,598 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,598 - setting property text
DEBUG 2018-07-25 12:22:27,598 - push QCheckBox FGC24
DEBUG 2018-07-25 12:22:27,598 - pop widget QCheckBox FGC24
DEBUG 2018-07-25 12:22:27,599 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,599 - pop layout QHBoxLayout horizontalLayout_5
DEBUG 2018-07-25 12:22:27,599 - push QHBoxLayout horizontalLayout_10
DEBUG 2018-07-25 12:22:27,599 - setting property enabled
DEBUG 2018-07-25 12:22:27,599 - setting property text
DEBUG 2018-07-25 12:22:27,599 - push QCheckBox render01
DEBUG 2018-07-25 12:22:27,599 - pop widget QCheckBox render01
DEBUG 2018-07-25 12:22:27,599 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,599 - setting property enabled
DEBUG 2018-07-25 12:22:27,599 - setting property text
DEBUG 2018-07-25 12:22:27,600 - push QCheckBox render02
DEBUG 2018-07-25 12:22:27,600 - pop widget QCheckBox render02
DEBUG 2018-07-25 12:22:27,600 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,600 - setting property enabled
DEBUG 2018-07-25 12:22:27,600 - setting property text
DEBUG 2018-07-25 12:22:27,600 - push QCheckBox recon01
DEBUG 2018-07-25 12:22:27,600 - pop widget QCheckBox recon01
DEBUG 2018-07-25 12:22:27,600 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,600 - setting property enabled
DEBUG 2018-07-25 12:22:27,600 - setting property text
DEBUG 2018-07-25 12:22:27,600 - push QCheckBox recon02
DEBUG 2018-07-25 12:22:27,600 - pop widget QCheckBox recon02
DEBUG 2018-07-25 12:22:27,601 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,601 - setting property text
DEBUG 2018-07-25 12:22:27,601 - push QCheckBox recon03
DEBUG 2018-07-25 12:22:27,601 - pop widget QCheckBox recon03
DEBUG 2018-07-25 12:22:27,601 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,601 - setting property text
DEBUG 2018-07-25 12:22:27,601 - push QCheckBox recon04
DEBUG 2018-07-25 12:22:27,601 - pop widget QCheckBox recon04
DEBUG 2018-07-25 12:22:27,601 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,601 - setting property enabled
DEBUG 2018-07-25 12:22:27,601 - setting property text
DEBUG 2018-07-25 12:22:27,602 - push QCheckBox recon05
DEBUG 2018-07-25 12:22:27,602 - pop widget QCheckBox recon05
DEBUG 2018-07-25 12:22:27,602 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,602 - pop layout QHBoxLayout horizontalLayout_10
DEBUG 2018-07-25 12:22:27,602 - push QHBoxLayout horizontalLayout_2
DEBUG 2018-07-25 12:22:27,602 - setting property text
DEBUG 2018-07-25 12:22:27,602 - push QCheckBox FGC01
DEBUG 2018-07-25 12:22:27,602 - pop widget QCheckBox FGC01
DEBUG 2018-07-25 12:22:27,602 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,602 - setting property text
DEBUG 2018-07-25 12:22:27,603 - push QCheckBox FGC02
DEBUG 2018-07-25 12:22:27,603 - pop widget QCheckBox FGC02
DEBUG 2018-07-25 12:22:27,603 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,603 - setting property text
DEBUG 2018-07-25 12:22:27,603 - push QCheckBox FGC03
DEBUG 2018-07-25 12:22:27,603 - pop widget QCheckBox FGC03
DEBUG 2018-07-25 12:22:27,603 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,603 - setting property text
DEBUG 2018-07-25 12:22:27,603 - push QCheckBox FGC04
DEBUG 2018-07-25 12:22:27,603 - pop widget QCheckBox FGC04
DEBUG 2018-07-25 12:22:27,604 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,604 - setting property text
DEBUG 2018-07-25 12:22:27,604 - push QCheckBox FGC05
DEBUG 2018-07-25 12:22:27,604 - pop widget QCheckBox FGC05
DEBUG 2018-07-25 12:22:27,604 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,604 - setting property text
DEBUG 2018-07-25 12:22:27,604 - push QCheckBox FGC06
DEBUG 2018-07-25 12:22:27,604 - pop widget QCheckBox FGC06
DEBUG 2018-07-25 12:22:27,604 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,604 - pop layout QHBoxLayout horizontalLayout_2
DEBUG 2018-07-25 12:22:27,605 - setting property orientation
DEBUG 2018-07-25 12:22:27,605 - push QFrame line_2
DEBUG 2018-07-25 12:22:27,605 - pop widget QFrame line_2
